datum	tmin	tmax	rhmin	rhmax	solar	wind
2013-10-19	2.3	18.7	48	98	8.580	0.168836799
2013-10-20	4.4	22	47	98	7.738	0.366753472
2013-10-21	12	24	49	94	7.985	0.163339104
2013-10-22	6.5	23.2	52	98	6.305	0.119212965
2013-10-23	17.5	23.1	50	72	7.991	1.090856493
2013-10-24	11.2	21	59	96	3.690	0.205295139
2013-10-25	9.7	22.9	44	99	6.977	0.063223382
2013-10-26	7.3	24.6	43	99	8.553	0.080295132
2013-10-27	5.8	22.2	50	99	6.543	0.03153934
2013-10-28	10.7	22.9	53	97	8.193	0.679687493
2013-10-29	9.1	22.1	58	95	5.224	0.156249986
2013-10-30	6.6	13.8	67	95	2.707	0.253472229
2013-10-31	4.9	15.9	40	99	6.648	0.145833333
2013-11-01	4.6	17.8	53	97	7.618	0.103153931
2013-11-02	3.5	16.8	66	99	2.183	0.284866896
2013-11-03	7	17.5	67	99	1.785	0.52228009
2013-11-04	8.1	11.2	88	96	3.779	0.425781236
2013-11-05	4.6	11.1	90	98	1.484	0.132957181
2013-11-06	2.4	8.9	97	99	2.021	0.152343722
2013-11-07	5.2	18.6	56	100	7.379	0.141927076
2013-11-08	2.3	18.3	62	99	6.501	0.170283556
2013-11-09	7.2	18.8	63	97	0.885	0.569878465
2013-11-10	4.6	11.2	76	97	3.974	0.236400431
2013-11-11	5.6	8.6	54	97	1.759	0.848379639
2013-11-12	5.3	8.8	64	94	2.693	0.07841434
2013-11-13	6.2	7.7	89	97	0.605	0.043113417
2013-11-14	4.2	8.6	62	97	3.896	0.150028951
2013-11-15	4.7	6.7	94	98	0.502	0.294994243
2013-11-16	1.8	11.4	75	98	4.753	0.196325222
2013-11-17	0.1	11	79	100	5.435	0.378327542
2013-11-18	2.5	11.3	77	99	3.254	0.281828708
2013-11-19	4.8	6.9	96	99	0.861	0.155381924
2013-11-20	6.3	7.5	98	99	0.787	0.138454882
2013-11-21	3.9	9.2	95	99	1.870	0.439525479
2013-11-22	3.6	6.4	98	99	0.502	0.234085611
2013-11-23	6.3	8.8	93	99	0.430	0.852575208
2013-11-24	5.1	7.6	94	97	0.897	0.62094909
2013-11-25	1.1	5.3	39	96	2.414	2.087673625
2013-11-26	-0.6	5	42	68	3.163	2.285445604
2013-11-27	-4.5	3.8	44	84	4.691	1.186487243
2013-11-28	-6.3	5.5	39	96	4.927	0.218026611
2013-11-29	-5.8	8.7	36	97	5.000	0.186631958
2013-11-30	-1.8	4.5	69	95	2.672	0.153790493
2013-12-01	-3.1	9.4	46	98	4.828	0.306857611
2013-12-02	-4.4	8.3	56	98	4.754	0.383101882
2013-12-03	-5.8	6.5	65	98	4.656	0.161313667
2013-12-04	-5.5	-0.5	96	100	3.460	0.148871535
2013-12-05	-5.6	6	63	100	3.883	0.394675938
2013-12-06	-2.1	8	45	96	4.420	0.575520861
2013-12-07	-2	7.8	30	79	4.448	0.358506924
